               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
221,0.53797,0.49778,1.1288,0.98982,0.99425,0.99977,0.95109,0.955958,0.51708,0.21664,1.046,0.001288,0.001288,0.001288
214,0.54068,0.49021,1.1285,0.9961,0.98833,0.99994,0.95009,0.955075,0.50329,0.20732,1.0523,0.0015652,0.0015652,0.0015652
215,0.54205,0.48899,1.1313,0.9929,0.99409,0.99996,0.9493,0.954366,0.49109,0.19893,1.0387,0.0015256,0.0015256,0.0015256
179,0.55871,0.5214,1.1346,0.98712,0.99057,0.99965,0.94918,0.954227,0.50771,0.24057,1.0304,0.0029512,0.0029512,0.0029512
191,0.55666,0.525,1.139,0.99295,0.99672,0.99996,0.94906,0.95415,0.4923,0.20722,1.0357,0.002476,0.002476,0.002476
158,0.57102,0.54576,1.1463,0.96362,0.997,0.99987,0.94861,0.953736,0.49012,0.24184,1.0171,0.0037828,0.0037828,0.0037828
217,0.54732,0.50295,1.1314,0.97991,0.9962,0.99994,0.94841,0.953563,0.49755,0.22179,1.0359,0.0014464,0.0014464,0.0014464
229,0.5378,0.49662,1.1286,0.98904,0.99461,0.99994,0.94822,0.953392,0.52828,0.22096,1.0498,0.0009712,0.0009712,0.0009712
220,0.54274,0.49344,1.1307,0.9913,0.9932,0.99996,0.94785,0.953061,0.51622,0.21385,1.0457,0.0013276,0.0013276,0.0013276
198,0.55481,0.5071,1.1305,0.98633,0.98139,0.99909,0.94787,0.952992,0.50801,0.23607,1.0477,0.0021988,0.0021988,0.0021988
152,0.57693,0.55947,1.1343,0.98734,0.95965,0.99826,0.94796,0.95299,0.49578,0.2574,1.026,0.0040204,0.0040204,0.0040204
155,0.58427,0.55896,1.1428,0.97139,0.98518,0.99894,0.94783,0.952941,0.48542,0.26108,1.0212,0.0039016,0.0039016,0.0039016
199,0.5505,0.51447,1.1347,0.99423,0.99376,0.99996,0.94766,0.95289,0.50496,0.24234,1.0385,0.0021592,0.0021592,0.0021592
247,0.52269,0.45752,1.1225,0.98909,0.99082,0.99939,0.94768,0.952851,0.5044,0.23324,1.0369,0.0002584,0.0002584,0.0002584
178,0.56318,0.5387,1.1417,0.98978,0.98438,0.99969,0.94758,0.952791,0.53349,0.24114,1.0507,0.0029908,0.0029908,0.0029908
180,0.56018,0.53129,1.1391,0.99182,0.99792,1,0.94752,0.952768,0.52104,0.22647,1.0367,0.0029116,0.0029116,0.0029116
197,0.55332,0.51009,1.1346,0.99492,0.97919,0.99998,0.94741,0.952667,0.51742,0.23149,1.058,0.0022384,0.0022384,0.0022384
246,0.53576,0.47854,1.1334,0.98946,0.99301,0.99946,0.94717,0.952399,0.506,0.21782,1.0393,0.000298,0.000298,0.000298
248,0.52343,0.47355,1.1245,0.98617,0.98891,0.99911,0.94703,0.952238,0.50834,0.24707,1.0394,0.0002188,0.0002188,0.0002188
225,0.53478,0.47782,1.1231,0.98994,0.99083,0.99996,0.94693,0.952233,0.52356,0.21832,1.0466,0.0011296,0.0011296,0.0011296
222,0.5429,0.49197,1.1364,0.98888,0.99194,0.99973,0.94692,0.952201,0.52435,0.21548,1.0498,0.0012484,0.0012484,0.0012484
226,0.54377,0.49275,1.1301,0.99304,0.99046,0.99998,0.94685,0.952163,0.52117,0.21589,1.045,0.00109,0.00109,0.00109
204,0.54474,0.50277,1.1284,0.97953,0.99406,0.99793,0.94679,0.951904,0.54827,0.24821,1.0597,0.0019612,0.0019612,0.0019612
159,0.57833,0.56911,1.1432,0.98686,0.99014,0.99941,0.94658,0.951863,0.52454,0.26365,1.0433,0.0037432,0.0037432,0.0037432
216,0.5442,0.505,1.1325,0.99016,0.99289,0.99996,0.94609,0.951477,0.49268,0.21903,1.0365,0.001486,0.001486,0.001486
190,0.56108,0.51995,1.14,0.99585,0.98592,0.99998,0.94605,0.951443,0.48912,0.21194,1.0318,0.0025156,0.0025156,0.0025156
154,0.57777,0.5583,1.1427,0.98226,0.98497,0.99973,0.94607,0.951436,0.47999,0.23558,1.0209,0.0039412,0.0039412,0.0039412
186,0.55551,0.51252,1.1413,0.99835,0.97834,0.99936,0.94591,0.951255,0.51761,0.26701,1.0488,0.002674,0.002674,0.002674
249,0.52782,0.45627,1.1208,0.98759,0.98857,0.99934,0.9458,0.951154,0.50932,0.23406,1.0384,0.0001792,0.0001792,0.0001792
205,0.53518,0.49949,1.1278,0.9837,0.99326,0.9989,0.94565,0.950975,0.52437,0.23131,1.0505,0.0019216,0.0019216,0.0019216
166,0.58293,0.55117,1.1397,0.97349,0.97515,0.99959,0.94555,0.950954,0.48536,0.25827,1.0319,0.003466,0.003466,0.003466
227,0.53524,0.48559,1.1241,0.99617,0.99056,0.99994,0.94547,0.950917,0.53034,0.211,1.048,0.0010504,0.0010504,0.0010504
218,0.54213,0.49951,1.131,0.9856,0.99313,0.99994,0.94538,0.950836,0.51052,0.20996,1.0411,0.0014068,0.0014068,0.0014068
219,0.53846,0.51357,1.1316,0.97734,0.995,0.9999,0.94538,0.950832,0.51331,0.22239,1.044,0.0013672,0.0013672,0.0013672
194,0.54936,0.50091,1.1354,0.99247,0.99098,0.99996,0.9453,0.950766,0.5304,0.21631,1.0607,0.0023572,0.0023572,0.0023572
232,0.52693,0.47453,1.1242,0.99086,0.98735,0.9998,0.94502,0.950498,0.51389,0.23141,1.044,0.0008524,0.0008524,0.0008524
213,0.53297,0.49532,1.1295,0.98576,0.99119,0.99922,0.94507,0.950485,0.50552,0.21971,1.0558,0.0016048,0.0016048,0.0016048
160,0.57991,0.55352,1.1437,0.97499,0.98645,0.99715,0.94523,0.950422,0.4886,0.267,1.0202,0.0037036,0.0037036,0.0037036
174,0.56139,0.53747,1.14,0.98672,0.99094,0.99857,0.94489,0.950258,0.53998,0.2394,1.0719,0.0031492,0.0031492,0.0031492
