     0/249    0.453G   0.07805  0.007986   0.05118    0.1372       156       224  0.006987    0.1361  0.002878 0.0005366   0.09535  0.009614   0.04376
     1/249     1.33G   0.05783  0.008951   0.04663    0.1134       143       224   0.08269    0.2887   0.08121   0.01895   0.07258   0.01103   0.04545
     2/249      1.8G   0.04876   0.00829   0.04534    0.1024       134       224    0.1376    0.7065    0.1945   0.06752   0.06119  0.009869   0.05026
     3/249      1.8G   0.04521  0.007498    0.0432    0.0959       117       224    0.1814     0.669    0.2621   0.09332   0.06066  0.009625   0.05086
     4/249      1.8G   0.04232  0.007292   0.04048   0.09008       132       224    0.3502    0.5706    0.4537    0.2002   0.06338  0.008893   0.05383
     5/249      1.8G   0.04167  0.006305   0.03953   0.08751       145       224    0.4694    0.5505    0.4605    0.2618   0.05968   0.00897   0.06898
     6/249      1.8G   0.06231   0.00587   0.04746    0.1156       148       224    0.4172    0.8058    0.5014    0.2773   0.08331  0.006234   0.07431
     7/249      1.8G   0.05822  0.005758   0.04315    0.1071       117       224    0.4623    0.7155    0.6212    0.3844   0.06891  0.006775   0.04971
     8/249      1.8G   0.05015  0.005465   0.04087   0.09649       132       224    0.5621    0.6489    0.6479    0.4455   0.07079  0.006708   0.04339
     9/249      1.8G   0.04952  0.005592    0.0382   0.09331       148       224    0.5057    0.7335     0.658    0.4951   0.06347  0.006759   0.04231
    10/249      1.8G   0.04322  0.005338     0.036   0.08455       135       224    0.4711    0.8278    0.7102    0.5313   0.07056  0.004884   0.04591
    11/249      1.8G   0.04693   0.00525    0.0346   0.08678       150       224    0.6535      0.73    0.7039     0.483   0.06535  0.005528   0.05151
    12/249      1.8G   0.04202  0.005159   0.03399   0.08117       133       224    0.6295      0.76     0.714    0.5594   0.06409  0.006551   0.04413
    13/249      1.8G   0.03994  0.004909   0.03211   0.07696       145       224    0.6177    0.8511     0.729    0.5924   0.04947  0.007666   0.04671
    14/249      1.8G   0.03636  0.004815   0.03108   0.07225       147       224    0.6172    0.7727     0.745    0.5834    0.0552  0.006669   0.04826
    15/249      1.8G   0.03492  0.004706   0.02956   0.06919       139       224    0.7007    0.9084    0.8001    0.6718   0.05995  0.006173   0.04204
    16/249      1.8G   0.03155  0.004624   0.02926   0.06544       130       224    0.6995    0.7346    0.7592    0.6021   0.05885  0.006749   0.04201
    17/249      1.8G    0.0316  0.004524   0.02897   0.06509       131       224    0.6821    0.8573    0.7996    0.6502   0.05927  0.006382   0.03454
    18/249      1.8G   0.02922  0.004509   0.02832   0.06205       121       224    0.7467    0.8742    0.8132    0.6546   0.05851  0.006541    0.0389
    19/249      1.8G   0.02844  0.004548   0.02812   0.06111       132       224    0.6716    0.8176    0.7817     0.665   0.05356  0.007807   0.03901
    20/249      1.8G   0.02771  0.004552   0.02787   0.06014       130       224    0.6864    0.8237    0.7878    0.6749    0.0491  0.008175   0.04021
    21/249      1.8G   0.02728  0.004522   0.02707   0.05887       129       224    0.7193    0.8531    0.8224    0.7048   0.05322  0.007381   0.03914
    22/249      1.8G   0.02726  0.004418   0.02654   0.05822       139       224    0.7141     0.879    0.8422    0.7055   0.05954  0.007256   0.03486
    23/249      1.8G   0.02769  0.004479   0.02645   0.05862       140       224     0.767    0.8683    0.8502    0.7489   0.05792  0.006785   0.03355
    24/249      1.8G   0.02572   0.00444   0.02669   0.05685       148       224    0.8485    0.8435    0.8928    0.7537   0.06036  0.006568   0.03965
    25/249      1.8G   0.02553  0.004503   0.02603   0.05606       145       224    0.6997    0.8763    0.8805    0.7576   0.05643  0.007168   0.03495
    26/249      1.8G   0.02515  0.004396   0.02583   0.05538       127       224    0.6983    0.8546    0.8306     0.704   0.05265  0.007986   0.03332
    27/249      1.8G   0.02508  0.004406   0.02649   0.05598       154       224    0.8294     0.878    0.8998    0.7697   0.05601  0.007394    0.0321
    28/249      1.8G   0.02497  0.004406   0.02565   0.05502       141       224     0.831    0.7131    0.8319    0.7324   0.05213  0.008117    0.0342
    29/249      1.8G   0.02477  0.004433   0.02593   0.05514       147       224    0.5578    0.6752     0.772    0.6781   0.05213  0.007792   0.04318
    30/249      1.8G   0.02456  0.004407   0.02599   0.05495       135       224    0.8882    0.8105    0.9066    0.7783   0.04159   0.00886   0.04057
    31/249      1.8G    0.0245  0.004265   0.02558   0.05434       135       224    0.7611    0.8981      0.88    0.7753    0.0521  0.008317    0.0399
    32/249      1.8G   0.02363  0.004248   0.02486   0.05274       125       224    0.7604    0.9412    0.9204    0.7815   0.03833   0.01076   0.03997
    33/249      1.8G    0.0242  0.004325   0.02435   0.05287       143       224    0.8955    0.9343    0.9692     0.863   0.03835   0.01026   0.03913
    34/249      1.8G    0.0232  0.004224    0.0243   0.05172       158       224    0.9146    0.8854    0.9434    0.8112   0.03943  0.009351   0.04064
    35/249      1.8G   0.02201  0.004048   0.02342   0.04948       138       224    0.8657    0.8707    0.9022    0.7968   0.04296  0.009516   0.05064
    36/249      1.8G   0.02234  0.004148   0.02369   0.05018       141       224    0.8762    0.8683    0.9405     0.844   0.03627   0.01015   0.05737
    37/249      1.8G   0.02147  0.004029   0.02304   0.04854       127       224    0.8313    0.9099    0.9377    0.8491   0.03776  0.009437   0.05559
    38/249      1.8G   0.02115  0.004125   0.02316   0.04843       129       224    0.8905    0.8728     0.938    0.8325   0.03248   0.01002   0.06404
    39/249      1.8G   0.02159  0.004163   0.02323   0.04898       128       224    0.7687     0.889    0.8962    0.7993   0.03072  0.009909   0.05042
    40/249      1.8G   0.02051  0.004038   0.02237   0.04692       136       224    0.8863     0.913    0.9418    0.8466   0.03501  0.009201   0.03954
    41/249      1.8G   0.02086  0.004182   0.02211   0.04715       159       224    0.9053    0.8697    0.9476    0.8521    0.0372  0.009324   0.05528
    42/249      1.8G   0.01967     0.004   0.02167   0.04534       120       224    0.9211    0.9279    0.9577    0.8709   0.03112  0.008637   0.04614
    43/249      1.8G   0.01983  0.003976   0.02095   0.04476       118       224    0.8915    0.9242    0.9629    0.8744   0.02513   0.01048   0.03683
    44/249      1.8G   0.01984  0.004128   0.02064   0.04461       123       224    0.8606    0.8875    0.9336    0.8403   0.02697  0.009653   0.05925
    45/249      1.8G   0.01902  0.004089   0.02072   0.04383       131       224    0.9126    0.8983      0.94    0.8492   0.02635  0.009325   0.04807
    46/249      1.8G   0.01941  0.004148   0.02032   0.04387       165       224    0.8619    0.9308    0.9474    0.8493   0.02655   0.00956    0.0318
    47/249      1.8G   0.01899  0.004208   0.02028   0.04347       134       224    0.8995    0.9204     0.977    0.8829   0.02355  0.008962    0.0419
    48/249      1.8G   0.01824  0.004041   0.01999   0.04227       147       224    0.9147    0.9383    0.9708    0.8884   0.02343  0.009768   0.03206
    49/249      1.8G   0.01815  0.004117   0.01967   0.04194       144       224     0.908    0.9144    0.9625    0.8789   0.02544  0.009738    0.0309
    50/249      1.8G   0.01808  0.004152    0.0204   0.04264       143       224    0.9121    0.9014    0.9403    0.8513   0.01937  0.009944   0.05042
    51/249      1.8G   0.01771  0.004114    0.0196   0.04142       127       224    0.9118    0.9534    0.9694    0.8882   0.02129  0.009594   0.05057
    52/249      1.8G    0.0175  0.003998   0.01892   0.04042       130       224    0.9474    0.9117     0.969     0.881   0.02063  0.008972    0.0344
    53/249      1.8G   0.01731  0.003922   0.01896   0.04019       124       224    0.9192    0.9199    0.9599    0.8772   0.02365  0.009866   0.05108
    54/249      1.8G    0.0174  0.003981   0.01932   0.04071       130       224    0.9071    0.9526    0.9735    0.8815   0.02045  0.009186   0.04322
    55/249      1.8G   0.01736     0.004   0.01833   0.03969       130       224    0.9397    0.9002    0.9545    0.8784   0.02052  0.009895   0.05046
    56/249      1.8G   0.01749  0.003764   0.01839   0.03965       125       224    0.9208    0.9664    0.9699    0.8835   0.02278   0.01009   0.05315
