               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
163,0.56993,0.56269,1.1421,0.98189,0.97235,0.99717,0.93978,0.945519,0.44891,0.24416,1.079,0.0035848,0.0035848,0.0035848
195,0.55603,0.51556,1.1306,0.97914,0.9927,0.99859,0.93962,0.945517,0.44871,0.21553,1.0806,0.0023176,0.0023176,0.0023176
175,0.56675,0.55243,1.1409,0.9683,0.97315,0.99567,0.93979,0.945378,0.45088,0.25844,1.0832,0.0031096,0.0031096,0.0031096
133,0.59235,0.59117,1.1505,0.96881,0.97456,0.99589,0.93974,0.945355,0.47244,0.26916,1.0951,0.0047728,0.0047728,0.0047728
138,0.58619,0.60135,1.1521,0.95832,0.97965,0.99396,0.93988,0.945288,0.45741,0.26312,1.0879,0.0045748,0.0045748,0.0045748
182,0.56061,0.53591,1.1435,0.98984,0.95602,0.99516,0.93973,0.945273,0.44882,0.23984,1.0797,0.0028324,0.0028324,0.0028324
170,0.57279,0.55343,1.1418,0.97462,0.98359,0.99597,0.93962,0.945255,0.43908,0.2298,1.0754,0.0033076,0.0033076,0.0033076
183,0.55823,0.53949,1.1465,0.98956,0.9561,0.99264,0.93983,0.945111,0.44865,0.24385,1.0806,0.0027928,0.0027928,0.0027928
125,0.5956,0.60548,1.1549,0.97852,0.9629,0.99435,0.93941,0.944904,0.45114,0.27267,1.083,0.0050896,0.0050896,0.0050896
174,0.56296,0.54177,1.142,0.97885,0.97629,0.99729,0.93889,0.94473,0.44296,0.23274,1.0782,0.0031492,0.0031492,0.0031492
127,0.59696,0.62646,1.1517,0.97207,0.96733,0.9954,0.93873,0.944397,0.46814,0.27461,1.0995,0.0050104,0.0050104,0.0050104
136,0.58709,0.57751,1.1575,0.95671,0.96314,0.99613,0.93826,0.944047,0.44737,0.27967,1.0854,0.004654,0.004654,0.004654
153,0.57455,0.55778,1.1421,0.97905,0.96321,0.99422,0.93843,0.944009,0.46232,0.25544,1.0868,0.0039808,0.0039808,0.0039808
123,0.6028,0.61691,1.1617,0.9485,0.96656,0.99477,0.93818,0.943839,0.44163,0.28259,1.083,0.0051688,0.0051688,0.0051688
184,0.56486,0.54246,1.1412,0.95161,0.98359,0.99289,0.93821,0.943678,0.44018,0.24923,1.0749,0.0027532,0.0027532,0.0027532
116,0.60931,0.61965,1.1592,0.93582,0.98223,0.99381,0.93805,0.943626,0.44697,0.29277,1.0791,0.005446,0.005446,0.005446
164,0.55998,0.54042,1.1402,0.97778,0.97951,0.99781,0.93755,0.943576,0.44473,0.24588,1.0774,0.0035452,0.0035452,0.0035452
142,0.58598,0.57576,1.1539,0.95964,0.97172,0.9937,0.93793,0.943507,0.45445,0.28437,1.0865,0.0044164,0.0044164,0.0044164
145,0.59269,0.59166,1.1539,0.97219,0.97772,0.9953,0.93748,0.943262,0.46343,0.25767,1.0877,0.0042976,0.0042976,0.0042976
99,0.61808,0.6509,1.1644,0.9869,0.95922,0.99523,0.93733,0.94312,0.46316,0.28185,1.0949,0.0061192,0.0061192,0.0061192
122,0.59577,0.61064,1.1534,0.97187,0.95216,0.99438,0.93742,0.943116,0.4443,0.28551,1.0771,0.0052084,0.0052084,0.0052084
137,0.59365,0.58532,1.1533,0.95301,0.9909,0.9979,0.93669,0.942811,0.46796,0.26353,1.0895,0.0046144,0.0046144,0.0046144
109,0.60793,0.6433,1.1635,0.96322,0.96131,0.99411,0.93706,0.942765,0.4559,0.28979,1.0868,0.0057232,0.0057232,0.0057232
120,0.59739,0.59536,1.1483,0.961,0.97425,0.99245,0.93691,0.942464,0.45461,0.29907,1.089,0.0052876,0.0052876,0.0052876
73,0.64861,0.70129,1.1795,0.94235,0.98042,0.9917,0.93671,0.942209,0.45729,0.30989,1.0863,0.0071488,0.0071488,0.0071488
111,0.6141,0.62245,1.1609,0.96507,0.97242,0.9939,0.93617,0.941943,0.46236,0.26729,1.0912,0.005644,0.005644,0.005644
108,0.62198,0.6624,1.162,0.9454,0.9776,0.99244,0.93474,0.94051,0.45402,0.28738,1.0878,0.0057628,0.0057628,0.0057628
130,0.59937,0.60268,1.1503,0.95713,0.95661,0.9908,0.93491,0.940499,0.45177,0.27778,1.0809,0.0048916,0.0048916,0.0048916
