               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
80,0.63038,0.68099,1.1705,0.96817,0.97991,0.99559,0.93035,0.936874,0.49819,0.29145,1.0763,0.0068716,0.0068716,0.0068716
81,0.62429,0.66495,1.1647,0.96029,0.97417,0.99544,0.92902,0.935662,0.50172,0.29842,1.089,0.006832,0.006832,0.006832
89,0.61961,0.65547,1.1727,0.98057,0.95856,0.99192,0.92906,0.935346,0.47176,0.30075,1.0671,0.0065152,0.0065152,0.0065152
92,0.62849,0.66253,1.1667,0.96964,0.95174,0.9887,0.92926,0.935204,0.47359,0.30209,1.0708,0.0063964,0.0063964,0.0063964
106,0.61198,0.63276,1.1576,0.98051,0.95015,0.993,0.92843,0.934887,0.50582,0.27487,1.0818,0.005842,0.005842,0.005842
83,0.63199,0.68503,1.1807,0.95055,0.97668,0.995,0.92791,0.934619,0.51597,0.31265,1.0874,0.0067528,0.0067528,0.0067528
78,0.63633,0.67949,1.1655,0.98416,0.96701,0.99247,0.9276,0.934087,0.49896,0.29248,1.0961,0.0069508,0.0069508,0.0069508
90,0.62647,0.67391,1.1616,0.97621,0.93776,0.98891,0.9279,0.934001,0.48101,0.30163,1.0637,0.0064756,0.0064756,0.0064756
110,0.60963,0.6093,1.1573,0.96117,0.97274,0.98469,0.92813,0.933786,0.49572,0.3163,1.069,0.0056836,0.0056836,0.0056836
108,0.61937,0.64615,1.1586,0.97678,0.96252,0.99359,0.92699,0.93365,0.48652,0.28205,1.0839,0.0057628,0.0057628,0.0057628
97,0.62783,0.64693,1.1674,0.94141,0.94648,0.9822,0.92799,0.933411,0.49414,0.35207,1.0907,0.0061984,0.0061984,0.0061984
113,0.60722,0.61242,1.1675,0.96019,0.95568,0.98883,0.92662,0.932841,0.53837,0.30694,1.1038,0.0055648,0.0055648,0.0055648
120,0.60137,0.58891,1.1474,0.95318,0.94815,0.9858,0.92601,0.931989,0.47877,0.32585,1.0768,0.0052876,0.0052876,0.0052876
104,0.60834,0.63627,1.1614,0.93516,0.96114,0.98657,0.92536,0.931481,0.48881,0.34895,1.0694,0.0059212,0.0059212,0.0059212
95,0.63157,0.64196,1.1677,0.97103,0.94253,0.99189,0.92473,0.931446,0.52662,0.29107,1.1102,0.0062776,0.0062776,0.0062776
76,0.63725,0.68162,1.1731,0.96393,0.95938,0.98896,0.92491,0.931315,0.49948,0.32624,1.0732,0.00703,0.00703,0.00703
64,0.65442,0.73031,1.1868,0.96256,0.92796,0.98598,0.92512,0.931206,0.54131,0.3559,1.1065,0.0075052,0.0075052,0.0075052
68,0.64109,0.70759,1.1741,0.95677,0.93011,0.98496,0.92466,0.93069,0.47511,0.33738,1.0711,0.0073468,0.0073468,0.0073468
71,0.64857,0.69219,1.176,0.94247,0.97072,0.98621,0.92418,0.930383,0.48776,0.30777,1.0724,0.007228,0.007228,0.007228
79,0.63132,0.67445,1.1704,0.96169,0.95136,0.98941,0.92363,0.930208,0.48123,0.31463,1.0946,0.0069112,0.0069112,0.0069112
85,0.62984,0.66346,1.1649,0.96224,0.95395,0.98906,0.92343,0.929993,0.51152,0.35237,1.0913,0.0066736,0.0066736,0.0066736
74,0.64019,0.7029,1.1648,0.93199,0.95113,0.98523,0.92371,0.929862,0.48103,0.34955,1.0717,0.0071092,0.0071092,0.0071092
93,0.61506,0.62848,1.1609,0.93035,0.97661,0.98755,0.92233,0.928852,0.50437,0.31175,1.0822,0.0063568,0.0063568,0.0063568
75,0.63376,0.67376,1.1669,0.95204,0.95942,0.98946,0.92155,0.928341,0.52509,0.33605,1.0883,0.0070696,0.0070696,0.0070696
72,0.64154,0.68964,1.1722,0.95125,0.94557,0.98607,0.92103,0.927534,0.50116,0.34518,1.0917,0.0071884,0.0071884,0.0071884
91,0.63048,0.6613,1.1719,0.94321,0.95812,0.98733,0.92052,0.927201,0.50337,0.33475,1.0777,0.006436,0.006436,0.006436
70,0.64682,0.71198,1.1747,0.94441,0.95883,0.98421,0.92,0.926421,0.5223,0.35544,1.0883,0.0072676,0.0072676,0.0072676
60,0.6464,0.72055,1.1691,0.96579,0.91666,0.98509,0.91945,0.926014,0.50438,0.33872,1.0902,0.0076636,0.0076636,0.0076636
61,0.65884,0.72375,1.1783,0.91924,0.9699,0.98277,0.91819,0.924648,0.52623,0.35432,1.0979,0.007624,0.007624,0.007624
82,0.63125,0.67547,1.1678,0.91988,0.94679,0.98122,0.91759,0.923953,0.51013,0.34502,1.0936,0.0067924,0.0067924,0.0067924
101,0.61392,0.63948,1.1681,0.94439,0.95056,0.98377,0.91574,0.922543,0.51427,0.32205,1.0862,0.00604,0.00604,0.00604
69,0.6437,0.71076,1.1794,0.93855,0.9402,0.97254,0.91462,0.920412,0.48939,0.39511,1.0751,0.0073072,0.0073072,0.0073072
55,0.66261,0.73317,1.1799,0.93557,0.93148,0.98316,0.91239,0.919467,0.52734,0.38678,1.1044,0.0078616,0.0078616,0.0078616
65,0.65021,0.71103,1.174,0.95812,0.92265,0.97784,0.9127,0.919214,0.52704,0.35685,1.1156,0.0074656,0.0074656,0.0074656
77,0.6368,0.68575,1.1753,0.95816,0.92752,0.97995,0.91236,0.919119,0.50093,0.33457,1.1007,0.0069904,0.0069904,0.0069904
73,0.64163,0.70568,1.1775,0.95547,0.91529,0.97451,0.91168,0.917963,0.49955,0.36633,1.0777,0.0071488,0.0071488,0.0071488
88,0.63822,0.66596,1.165,0.92482,0.91465,0.97703,0.91114,0.917729,0.51891,0.40439,1.106,0.0065548,0.0065548,0.0065548
67,0.63849,0.70245,1.1701,0.89236,0.94481,0.9711,0.91148,0.917442,0.47147,0.38941,1.0626,0.0073864,0.0073864,0.0073864
66,0.65216,0.71273,1.1855,0.92486,0.94521,0.97523,0.91093,0.91736,0.47702,0.39901,1.0663,0.007426,0.007426,0.007426
59,0.65258,0.73894,1.1741,0.95051,0.96126,0.98109,0.90918,0.916371,0.54041,0.35559,1.1188,0.0077032,0.0077032,0.0077032
62,0.65061,0.71576,1.1793,0.94427,0.87945,0.96642,0.91021,0.915831,0.52568,0.44721,1.1009,0.0075844,0.0075844,0.0075844
57,0.67629,0.74989,1.1852,0.95669,0.94877,0.9762,0.90907,0.915783,0.52655,0.36488,1.1116,0.0077824,0.0077824,0.0077824
84,0.62514,0.66502,1.1607,0.94831,0.92149,0.97719,0.90839,0.91527,0.54225,0.41645,1.0907,0.0067132,0.0067132,0.0067132
58,0.66787,0.74274,1.1817,0.91778,0.9359,0.97573,0.90633,0.91327,0.56068,0.37294,1.113,0.0077428,0.0077428,0.0077428
46,0.67125,0.77377,1.1797,0.95411,0.93311,0.97679,0.90443,0.911666,0.54093,0.38372,1.1026,0.008218,0.008218,0.008218
52,0.67806,0.77229,1.1853,0.93833,0.92183,0.96931,0.90298,0.909613,0.47715,0.38384,1.0797,0.0079804,0.0079804,0.0079804
41,0.69446,0.81736,1.2013,0.95316,0.90688,0.97081,0.90249,0.909322,0.53493,0.39904,1.1113,0.008416,0.008416,0.008416
50,0.6747,0.77471,1.1867,0.9458,0.91783,0.9754,0.90178,0.909142,0.55883,0.41601,1.1178,0.0080596,0.0080596,0.0080596
43,0.69246,0.8078,1.1967,0.93757,0.88788,0.96982,0.90114,0.908008,0.50575,0.42411,1.0921,0.0083368,0.0083368,0.0083368
39,0.69437,0.82691,1.2035,0.9102,0.89458,0.95737,0.8967,0.902767,0.52213,0.44198,1.1004,0.0084952,0.0084952,0.0084952
34,0.70217,0.84159,1.1961,0.91316,0.94286,0.9573,0.89423,0.900537,0.49966,0.45269,1.094,0.0086932,0.0086932,0.0086932
